No,교육청명,교육지원청명,유치원코드,유치원명,설립유형,대표자명,원장명,설립일,개원일,주소,전화번호,홈페이지,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,만3세유아수,만4세유아수,만5세유아수,혼합유아수,특수유아수,공시차수,경도,위도,상태
1,서울특별시교육청,남부교육지원청,006b5238-ce41-4471-9ee3-4df8d24b5141,서울정심초등학교병설유치원,공립(병설),김향숙,김향숙,20181116,20190314,서울특별시 금천구 독산로78다길 89,02-851-7792,http://www.jungshim.es.kr,07시30분~19시30분,1,1,1,0,1,4,14,12,0,2,20211,126.908371551251,37.4716912312365,정좌표
2,서울특별시교육청,강동송파교육지원청,009c017d-43bd-4d9f-ac64-d217abdd570e,서울솔방울유치원,공립(단설),이수이,이수이,20210301,20210301,서울특별시 송파구 오금로24길 25,02-6481-6001,https://www.서울솔방울유치원.kr:497/home/,09시30분~20시00분,2,2,2,0,,30,41,40,0,,20211,127.117386396486,37.5048453202087,정좌표
3,서울특별시교육청,강동송파교육지원청,04a021da-cdd7-4e7e-a434-2b388c2f6b63,란키즈유치원,사립(사인),송미화,송미화,20170307,20170307,서울특별시 송파구 새말로8길 22-5,.02-404-4045,,09시00분~19시00분,1,1,2,0,,11,15,28,0,,20211,127.126289699997,37.4807692195293,정좌표
4,서울특별시교육청,동부교육지원청,0764f8c8-364c-495b-9fbc-b389148b7b4f,서울신현초등학교병설유치원,공립(병설),김홍미,김홍미,20201231,20210301,서울특별시 중랑구 봉화산로 188,02-6956-0147,http://shinhyun.sen.es.kr/,07시30분~19시30분,1,1,1,0,1,15,11,13,0,4,20211,127.093515581182,37.6058218772401,정좌표
5,서울특별시교육청,서부교육지원청,0783b5eb-4c00-4161-9c47-664336825e5a,다우림유치원,사립(사인),김애리,김애리,20170330,20170401,서울특별시 은평구 증산로21길 22,.02-375-2237,,08시00분~20시00분,1,1,1,0,,26,14,27,0,,20211,126.912318112176,37.5962232949956,정좌표
6,서울특별시교육청,서부교육지원청,08d485cb-06c8-4964-bf03-ed1b178ef3fd,서울소의초등학교병설유치원,공립(병설),신미애,신미애,20210301,20210308,서울특별시 마포구 마포대로24길 42,02-362-6512,http://soeui.sen.es.kr,07시30분~19시30분,1,1,1,0,,6,15,10,0,,20211,126.960496704547,37.5524215764303,정좌표
7,서울특별시교육청,북부교육지원청,0c4bc461-9f36-4d28-94e3-3dfb9c6cd4e3,서울상계초등학교병설유치원,공립(병설),윤대희,윤대희,20170301,20170302,서울특별시 노원구 상계로9길 39,02-933-6888,http://www.sanggye.es.kr,07시00분~20시00분,,1,1,0,,,5,6,0,,20211,127.066574924769,37.6592430588312,정좌표
8,서울특별시교육청,강남서초교육지원청,16f86a3d-1aa1-471d-bcd4-a563853f8658,서울신구유치원,공립(단설),김미숙,김미숙,20170901,20170901,서울특별시 강남구 압구정로18길 28,02-3446-7480,http://서울신구유치원.kr/,07시30분~19시30분,2,1,2,0,1,30,18,38,0,3,20211,127.023992962892,37.523361189634,정좌표
9,서울특별시교육청,강남서초교육지원청,18f5dfe2-27c7-47f3-af41-5a4a944a77fe,서울세명유치원,공립(단설),김순혜,김순혜,20180104,20180301,서울특별시 강남구 자곡로 55,02-3411-0890,http://www.서울세명유치원.kr,07시00분~19시30분,1,2,2,0,1,11,31,42,0,4,20211,127.091075676352,37.4688570649397,정좌표
10,서울특별시교육청,강남서초교육지원청,196f00e6-793a-4f41-bcef-99bef725d1f3,한신유치원,사립(법인),강용규,김은미,20170301,20170301,서울특별시 서초구 잠원로3길 31,02-593-3100,,09시00분~17시00분,2,2,2,0,,46,47,46,0,,20211,127.004778697519,37.5090610506933,정좌표
